node1,node2,label,cn,sc,aa,ra,pa,tn
1448,308665,1,1.0,0.0,0.2201045822301589,0.010638297872340425,3652.0,126.0
222358,308665,1,0.0,0.0,0.0,0.0,176.0,48.0
308884,308665,1,0.0,0.0,0.0,0.0,396.0,53.0
5726,308665,1,1.0,0.0,0.22630370469475658,0.012048192771084338,4136.0,137.0
6721,308665,1,0.0,0.0,0.0,0.0,7260.0,209.0
2012,308665,1,0.0,0.0,0.0,0.0,6116.0,183.0
308197,308665,1,0.0,0.0,0.0,0.0,2420.0,99.0
44518,308665,1,0.0,0.0,0.0,0.0,44.0,45.0
11315,308665,1,0.0,0.0,0.0,0.0,2904.0,110.0
2638,308665,1,0.0,0.0,0.0,0.0,220.0,49.0
23819,308665,1,0.0,0.0,0.0,0.0,660.0,59.0
1780,308665,1,0.0,0.0,0.0,0.0,5544.0,170.0
308268,308665,1,0.0,0.0,0.0,0.0,3036.0,113.0
80631,308665,1,0.0,0.0,0.0,0.0,88.0,46.0
63102,308665,1,0.0,0.0,0.0,0.0,132.0,47.0
229193,308665,1,0.0,0.0,0.0,0.0,44.0,45.0
71722,308665,1,0.0,0.0,0.0,0.0,6028.0,181.0
2708,308665,1,0.0,0.0,0.0,0.0,4576.0,148.0
40809,308665,1,0.0,0.0,0.0,0.0,44.0,45.0
36962,308665,1,0.0,0.0,0.0,0.0,88.0,46.0
6594,291372,1,0.0,0.0,0.0,0.0,1298.0,129.0
63298,291372,1,0.0,0.0,0.0,0.0,44.0,15.0
37046,291372,1,0.0,0.0,0.0,0.0,11.0,12.0
322950,291372,1,0.0,0.0,0.0,0.0,11.0,12.0
36222,291372,1,0.0,0.0,0.0,0.0,495.0,56.0
2103,291372,1,0.0,0.0,0.0,0.0,1243.0,124.0
1937,291372,1,1.0,0.0,0.25973030217227155,0.02127659574468085,2761.0,261.0
25529,291372,1,0.0,0.0,0.0,0.0,99.0,20.0
2533,291372,1,0.0,0.0,0.0,0.0,715.0,76.0
308318,291372,1,0.0,0.0,0.0,0.0,77.0,18.0
308184,291372,1,1.0,0.0,0.18098063833245323,0.00398406374501992,517.0,57.0
188776,223103,1,0.0,0.0,0.0,0.0,30.0,11.0
158951,223103,1,0.0,0.0,0.0,0.0,6.0,7.0
336994,223103,1,0.0,0.0,0.0,0.0,3348.0,564.0
55436,223103,1,0.0,0.0,0.0,0.0,72.0,18.0
56247,223103,1,0.0,0.0,0.0,0.0,30.0,11.0
3385,223103,1,0.0,0.0,0.0,0.0,42.0,13.0
261536,334077,1,0.0,0.0,0.0,0.0,13.0,14.0
165453,334077,1,0.0,0.0,0.0,0.0,169.0,26.0
132702,334077,1,0.0,0.0,0.0,0.0,13.0,14.0
346775,334077,1,0.0,0.0,0.0,0.0,52.0,17.0
9619,334077,1,0.0,0.0,0.0,0.0,299.0,36.0
83917,334077,1,0.0,0.0,0.0,0.0,182.0,27.0
143555,334077,1,0.0,0.0,0.0,0.0,13.0,14.0
145026,334077,1,0.0,0.0,0.0,0.0,39.0,16.0
74149,334077,1,0.0,0.0,0.0,0.0,52.0,17.0
253723,334077,1,0.0,0.0,0.0,0.0,39.0,16.0
178368,334077,1,0.0,0.0,0.0,0.0,65.0,18.0
241570,334077,1,0.0,0.0,0.0,0.0,13.0,14.0
94578,334077,1,0.0,0.0,0.0,0.0,91.0,20.0
58029,11856,1,0.0,0.0,0.0,0.0,59.0,60.0
250715,259835,1,0.0,0.0,0.0,0.0,4.0,5.0
349153,17662,1,0.0,0.0,0.0,0.0,2.0,3.0
308331,17662,1,0.0,0.0,0.0,0.0,208.0,106.0
336913,293870,1,0.0,0.0,0.0,0.0,254.0,129.0
119533,293870,1,0.0,0.0,0.0,0.0,2.0,3.0
1854,268704,1,0.0,0.0,0.0,0.0,274.0,139.0
228896,268704,1,0.0,0.0,0.0,0.0,24.0,14.0
98670,5515,1,0.0,0.0,0.0,0.0,338.0,39.0
366694,5515,1,0.0,0.0,0.0,0.0,117.0,22.0
32736,5515,1,0.0,0.0,0.0,0.0,195.0,28.0
15285,5515,1,0.0,0.0,0.0,0.0,2834.0,231.0
26434,5515,1,0.0,0.0,0.0,0.0,78.0,19.0
54366,5515,1,0.0,0.0,0.0,0.0,442.0,47.0
42343,5515,1,0.0,0.0,0.0,0.0,299.0,36.0
5267,5515,1,1.0,0.0,0.3898712452512801,0.07692307692307693,9243.0,723.0
79450,5515,1,1.0,0.0,0.15228413030950644,0.0014064697609001407,169.0,25.0
30605,5515,1,0.0,0.0,0.0,0.0,78.0,19.0
333912,5515,1,0.0,0.0,0.0,0.0,429.0,46.0
73740,5515,1,0.0,0.0,0.0,0.0,650.0,63.0
72479,5515,1,0.0,0.0,0.0,0.0,117.0,22.0
56444,21605,1,0.0,0.0,0.0,0.0,5.0,6.0
455,21121,1,0.0,0.0,0.0,0.0,215.0,48.0
3857,21121,1,0.0,0.0,0.0,0.0,305.0,66.0
65815,21121,1,0.0,0.0,0.0,0.0,30.0,11.0
308184,21121,1,0.0,0.0,0.0,0.0,235.0,52.0
8836,21121,1,0.0,0.0,0.0,0.0,185.0,42.0
242002,71054,1,0.0,0.0,0.0,0.0,2025.0,678.0
62758,71054,1,0.0,0.0,0.0,0.0,3.0,4.0
1659,71054,1,0.0,0.0,0.0,0.0,1917.0,642.0
348952,308217,1,0.0,0.0,0.0,0.0,142.0,73.0
71625,308217,1,0.0,0.0,0.0,0.0,24.0,14.0
14322,308237,1,2.0,0.0,1.0928388167669574,0.33751743375174337,816.0,108.0
6785,308237,1,0.0,0.0,0.0,0.0,96.0,20.0
193878,308237,1,1.0,0.0,0.2162174871877535,0.00980392156862745,24.0,10.0
27690,308237,1,0.0,0.0,0.0,0.0,504.0,71.0
190732,308237,1,0.0,0.0,0.0,0.0,8.0,9.0
37279,308237,1,0.0,0.0,0.0,0.0,88.0,19.0
546,308237,1,1.0,0.0,0.2162174871877535,0.00980392156862745,1912.0,246.0
9383,308237,1,0.0,0.0,0.0,0.0,200.0,33.0
50569,8683,1,2.0,0.0,0.4193712965851666,0.024737295434969855,527.0,46.0
58151,8683,1,0.0,0.0,0.0,0.0,62.0,33.0
39395,8683,1,0.0,0.0,0.0,0.0,620.0,51.0
6655,8683,1,1.0,0.0,0.20355592307196482,0.007352941176470588,868.0,58.0
7790,8683,1,0.0,0.0,0.0,0.0,1147.0,68.0
32333,8683,1,2.0,0.0,0.5064548347750757,0.060305010893246185,1333.0,72.0
295586,8683,1,0.0,0.0,0.0,0.0,31.0,32.0
242002,8683,1,3.0,0.0,0.822384632611578,0.08943228454172367,20925.0,703.0
308406,8683,1,0.0,0.0,0.0,0.0,2015.0,96.0
63,8683,1,1.0,0.0,0.20780583746414044,0.008130081300813009,496.0,46.0
133078,8683,1,0.0,0.0,0.0,0.0,31.0,32.0
52634,8683,1,2.0,0.0,0.45623133586260955,0.025987224157955867,2418.0,107.0
165040,8683,1,1.0,0.0,0.20780583746414044,0.008130081300813009,1519.0,79.0
36543,8683,1,1.0,0.0,0.20780583746414044,0.008130081300813009,1581.0,81.0
9277,8683,1,9.0,0.0,2.644527959008543,0.32900439793625025,3813.0,145.0
156585,8683,1,1.0,0.0,0.20780583746414044,0.008130081300813009,1891.0,91.0
236297,8683,1,0.0,0.0,0.0,0.0,31.0,32.0
5132,8683,1,0.0,0.0,0.0,0.0,589.0,50.0
308460,8683,1,1.0,0.0,0.20780583746414044,0.008130081300813009,589.0,49.0
9046,8683,1,0.0,0.0,0.0,0.0,961.0,62.0
